text	label
CC(c1ccc(nc1)C(F)(F)F)S(=O)(=NC(=S)NCCN2CCOCC2)C	0
CC(CSCC1CC1)C(=O)N(C)c2nnc(s2)c3cncc(F)c3	0
CCCNC(=O)c1[nH+]c(NC(=O)c2cccnc2)cn1C	0
Cc1n[nH]c(n1)c2cccc(NC(=O)C(F)(F)c3ccccc3)c2	0
CSCC(C)(C)C(=O)N(C)c1sc([nH+]c1C)c2cncnc2	0
CN(C(=S)NC1CC1)c2sc([nH+]c2C)c3cncc(F)c3	1
COC(=O)NCC1CC1\C(=N/N=C(\C)/c2cccc(c2)C(F)(F)F)\C	0
CCN(C(=O)CC\C(=N/OCCCCC(F)(F)F)\c1cccs1)c2cn(nc2Cl)c3cccnc3	0
C[C@@]1(COC(=O)C2CC2)[C@H](CC[C@@]3(C)[C@H]1C[C@H](O)[C@@]4(C)OC5=C([C@H](O)[C@H]34)C(=O)OC(=C5)c6cccnc6)OC(=O)C7CC7	1
CCOC(=O)c1ccc(NC(=O)c2cccnc2)nc1n3cccn3	0
CCN(C(=O)CCS(=O)CCCNC(=O)OC(C)(C)C)c1cn(nc1Cl)c2cccnc2	0
CNc1nnc(s1)C2CCCCC2	0
[O-][N+](=O)[N-]C1=NCCN1Cc2ccc(Cl)nc2	1
CC(CS(=O)(=O)C)C(=O)Nc1sc([nH+]c1Cl)c2cccnc2	1
CCN(C(=O)C(C)C(C)SC)c1sc(nc1Cl)c2cncc(F)c2	1
COc1cnc(nc1)c2cccc(C(=O)Nc3cccnc3)c2OC	0
CCc1[nH+]c(sc1N(C)C(=O)C(C)(C)CSC)c2cccnc2	0
CSCCC(=O)N(CC#C)c1sc([nH+]c1C)c2cccnc2	0
CN(C(=O)CCS(=O)CCCC(F)(F)F)c1cn(nc1Cl)c2ccc[n+]([O-])c2	1
CC#CCN(C(=O)CCSCCC(F)(F)F)c1sc([nH+]c1C)c2cccnc2	0
FC(F)(F)CCS(=O)(=O)CCC(=O)N(CC#C)c1sc(nc1Cl)c2cncnc2	0
Cc1nocc1c2onc(n2)c3cnccn3	0
CSCC(C)C(=O)N(C)c1cn(nc1Br)c2cccnc2	1
Cn1cc(NC(=O)c2cccnc2)nc1C(=O)Nc3ccccc3	1
C\C(=C/c1ccccc1)\CN2CCN(CC2)c3cccc(Cl)c3	0
Clc1ccc(NC(=O)NCC2CCOCO2)cc1Cl	0
CCN(C(=O)CCSCCC(OC)OC)c1cn(nc1Cl)c2cccnc2	0
CCN(C(=O)CSC)c1cn(nc1C)c2cccnc2	1
FC(F)(F)c1cccc(n1)n2cnc(c2)c3cccnc3	1
OC(CNC(=O)c1cc(NC(=O)[C@@H]2[C@@H](c3cc(Cl)cc(Cl)c3)C2(Cl)Cl)ccc1Cl)C(F)(F)F	0
FC(F)(F)Oc1ccc2C(OC(=O)c2c1)c3c(Cl)cncc3Cl	0
Cn1cc(NC(=O)c2cccnc2)[nH+]c1CO	0
CCN(C(=O)NC1CCCC1)c2sc(nc2Cl)c3cccnc3	0
CC(C)SCCC(=O)N(C)c1nnc(s1)c2cncnc2	0
CCNC(=O)N(CC(F)F)c1sc(nc1Br)c2cccnc2	0
ClCCCC(=O)Nc1cn(nc1Cl)c2cccnc2	0
COc1ccc(cc1)C(=O)N(C)c2ccc(nn2)c3cccnc3	0
C[C-](C(=O)N(CC#C)c1cn(nc1Cl)c2cccnc2)S(=O)C	1
CSCCC(=O)N(CC#C)c1cn(nc1C)c2cccnc2	0
CN(NC(=O)c1ccc(cc1C(F)(F)F)\C(=C\C(c2cc(Cl)c(F)c(Cl)c2)C(F)(F)F)\F)C(=O)NCC(F)(F)F	0
CCN(C(=O)C(C)C\C(=N\OCCC1CC1(F)F)\C)c2cn(nc2Cl)c3cccnc3	0
CC(C)C(=O)N(C)c1nnc(s1)c2cccnc2Cl	0
C\C=C\c1ccc2nc(cn2c1)c3cccnc3	0
CCN(C(=O)C1CCCCS1)c2cn(nc2Cl)c3cccnc3	0
Nc1nc(Cl)cc(NCC(O)c2ccc(F)cc2F)n1	0
C[NH+](C)[C@H]1[C@@H](C[C@@H]2CC(C)(C)OC[C@@]12O)Oc3ccccn3	0
CCN(C(=O)CCSCC=C)c1sc(nc1Cl)c2cccnc2	0
CCN(C(=O)CCSC(F)(F)F)c1sc(nc1Cl)c2cccnc2	0
CSCC(C)C(=O)N(C)c1cn(nc1C)c2cncnc2	0
CC(C)C(=O)N(C)c1c[nH+]c(s1)c2cncc(F)c2	0
CNC(=O)O\N=C(/CSC)\C(C)(C)C	0
CCN(C(=O)\C(=N\OC)\CSCC(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
CCN(C(=O)CCCCl)c1sc(nc1Cl)c2cccnc2	0
COC(=O)[N-]Nc1cccc(c1)\C(=N\OCc2ccccc2C(F)(F)F)\C	0
CCN(C(=O)CCS(=O)(=O)C)c1sc(nc1Cl)c2cc(F)c[n+]([O-])c2	0
CCN(C=C(C#N)C#N)c1cc(cc(c1)C(F)(F)F)C(F)(F)F	0
CN(C(=O)CCC(F)(F)F)c1cc(C)[nH+]c(c1)c2cccnc2	0
CN(C(=O)CN1CCN(C)C1=O)c2cn(nc2Cl)c3cccnc3	0
CCN(c1ccc(cn1)C(F)(F)F)c2cc(ncn2)c3cccnc3	0
C[C-](C(=O)N(CC#C)c1cn(nc1Cl)c2cccnc2)S(=O)(=O)CCC(F)(F)F	1
CCSc1cncc(F)c1C2OC(=O)c3cc(ccc23)C(F)(F)F	0
CN(CC(F)(F)F)C(=O)CNC(=O)c1ccc(cc1C(F)(F)F)\C(=C\C(c2cc(C)c(Cl)c(C)c2)C(F)(F)F)\F	0
CCOC(=O)c1nnsc1N(C)c2nnc(s2)C(F)(F)F	0
CC(NC(=O)c1sc(nc1Cl)c2cccnc2)C#N	0
FC(F)(F)Oc1cccc(c1)c2onc(n2)c3ccncc3	0
CCN(C(=O)C(C)(C)CS(=O)C)c1sc([nH+]c1C)c2cncc(F)c2	0
F\C(=C/C(c1cc(Cl)c(Cl)c(Cl)c1)C(F)(F)F)\c2ccc(C(=O)NC3(CC3)C(=O)NCC(F)(F)F)c(c2)C(F)(F)F	0
CSc1ccc2Sc3ccccc3CC(N4CCN(C)CC4)c2c1	0
Cc1nn(cc1COc2ccc(cc2)C(F)(F)F)c3cccnc3	0
Cc1cc(C)cc(CC(NC(=S)NCCO)c2cccc(F)c2C)c1	1
CCO[C@@H]1[C@@H](OC)[C@H](C)O[C@@H](O[C@H]2C[C@H]3[C@@H]4C=C5[C@@H](CC(=O)O[C@@H](CC)CCC[C@H](O[C@H]6CC[C@@H]([C@@H](C)O6)[NH+](C)C)[C@@H](C)C5=O)[C@@H]4CC=C3C2)[C@@H]1OC	0
CC(=O)N\N=C(/C1CC1)\c2ccc(Cl)cc2	0
CSCC(C)(C)C(=O)N(C)c1nnc(Cc2cccnc2)s1	0
CCN(C(=O)C1CCN(CC1)S(=O)(=O)C)c2cn(nc2Cl)c3cccnc3	1
CCN(C(=O)C1CN(C1)C(=O)CC(F)(F)F)c2cn(nc2Cl)c3cccnc3	1
CSCC(=O)N(CC#CC)c1cn(nc1Cl)c2cccnc2	1
Fc1cncc(I)c1C2OCc3cc(ccc23)C(F)(F)F	0
CCN(C(=O)NCCC(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
CC(C(=O)N(C)c1cn(nc1Cl)c2cccnc2)S(=O)(=O)CCC(F)(F)F	1
CCN(C(=O)CCSCCC(F)(F)F)c1cn(nc1Cl)c2cncnc2	0
Cc1cccc(OCC2=[NH+]CCN2C(=O)NCc3ccc(Cl)c(Cl)c3)c1C	0
COC(=O)c1nnsc1N2CCC(Cc3ccc(OC(F)(F)F)cc3)C2	0
Clc1nn(cc1N2CCC(=C)C2=O)c3cccnc3	0
CC(CC(F)(F)F)SCCC(=O)N(C)c1cn(nc1Cl)c2cccnc2	1
CCN(c1cccc(SC)n1)c2cc(ncn2)c3cccnc3	0
FC(F)(F)Oc1cccc(c1)c2cn(nn2)c3cccnc3	1
Cc1nn(cc1C(=O)OCCCl)c2cccnc2	0
CCN(C1=[NH+]CCSC1)c2cn(nc2Cl)c3cccnc3	0
CSCCC(=O)N(CC#CC)c1sc([nH+]c1C)c2cccnc2	0
CN(C(=O)C(C)(C)CSCC1CC1)c2nnc(s2)c3cccnc3	1
FC(F)(F)c1cnc(N\N=C\2/CCCc3nn(cc23)c4cccnc4)nc1	1
CCN(C(=O)CC[NH+](CC)CC)c1sc(nc1Cl)c2cccnc2	0
Fc1cnc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4ccc(Cl)c(Cl)c4)C3(Cl)Cl)ccc2Cl)c(F)c1	1
Cc1ccc(C)c(CC(=O)Nc2cccc(c2)c3n[nH]c(n3)C4CC4)c1	0
CN1N=C(C)C2(F)C1OC(=O)N2C	0
CCC(CSC)C(=O)N(C)c1sc([nH+]c1Cl)c2cccnc2	0
CN(C(=O)CSC(C)(C)C)c1cn(nc1Cl)c2cccnc2	0
CC(C)C(=O)Nc1cc[nH+]c(c1)c2cccnc2	0
CCN(C(=O)[C@@H](C)CSC)c1sc(nc1Cl)c2cccnc2	1
Nc1snc(Br)c1Br	0
CSCCCNc1nnc(s1)c2cccnc2	0
Cc1nc(sc1\C=N\OC2CCCCO2)c3cccnc3	0
CC\C(=N/NC=O)\c1ccc(Cl)c(Cl)c1	1
CC(C)(C)O\N=C\1/CCCc2nn(cc12)c3cccnc3	0
CSC(C)C(=O)N(CC1CC1)c2cn(nc2Cl)c3cccnc3	1
CCN(C(=O)CCS(=O)(=O)CC1CC1(F)F)c2cn(nc2Cl)c3ccc[n+]([O-])c3	1
CC1CCN(CC1)C(=S)Nc2ccc[nH+]c2	0
O=C(CN1CCc2nn(cc2C1=O)c3cccnc3)c4ccccc4	0
COc1cnccc1c2cc(on2)c3ccc(cn3)C(F)(F)F	0
COc1ccc(cc1)C(=O)NC(=S)N=S(=O)(C)C(C)c2ccc(nc2)C(F)(F)F	0
CS\C(=N/C(Cc1cc(F)cc(F)c1)c2cccs2)\N3CCOC3=O	1
Cc1cccc(\C=N\N=C\c2cnccc2C)c1	0
C[C-](C(=O)N(CCC(=O)[O-])c1cn(nc1Cl)c2cccnc2)S(=O)(=O)C	1
CC(=O)N1CCc2nn(cc2C1)c3cccnc3	0
CS(=O)(=NC(=N)NO)Cc1ccc(Cl)nc1	0
CCCCOC(=O)C(C)OC(=O)C1CSC(C)C(=O)N1	0
CCN(C(=O)CCSCCN1CCCC1=O)c2cn(nc2Cl)c3cccnc3	0
CC(c1ccc(nc1)C(F)(F)F)S(=O)(=Nc2ccccn2)C	0
CSCCC(=O)Nc1cc[nH+]c(c1)c2cccnc2	0
CC(C(=O)N(C)CC(=O)Nc1sc(nc1C)c2cccnc2)n3cccn3	0
CC(C)(c1cnc(s1)C(F)(F)F)S(=O)(=NC#N)C	0
CCC(C)SCc1cn(nc1C)c2cncc(F)c2	0
CCNc1nc(NCC)nc(n1)N(C#N)C(C)C	0
Fc1cccc(Br)c1NC2=NCCN2	1
C\C(=N/N=C/c1ccc(Cl)cc1)\c2ccccc2	0
COC(=O)c1ccnc(c1)n2nc(cc2C)C(F)(F)F	0
CCN(C(=O)CN(C)C(=O)CC(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
FC(F)(F)c1ccc(nc1)n2ncc(C(=O)NCC#C)c2C(F)(F)F	0
CSCS(=O)(=NC#N)Cc1ccc(Cl)nc1	0
CN(C(=O)CCSCC1CC1(F)F)c2cn(nc2Cl)c3cccnc3	0
CS(=O)(=O)CCC(=O)N(CC#C)c1cn(nc1Br)c2cccnc2	0
Cc1nn(cc1N(Cc2ccncc2)c3cccc(n3)N4C=CC(=S)C=C4)c5cccnc5	0
COc1cccc(\C=N\NC=O)c1	0
Cc1nn(cc1c2nccc(n2)C(F)(F)F)c3cccnc3	0
CCN(C(=O)C(C)CS(=O)CCC(F)(F)F)c1cn(nc1Cl)c2ccc[n+]([O-])c2	1
CCN(C(=O)C)c1sc(nc1Cl)c2cccnc2	0
Cc1nc(cs1)C(=[NH2+])NC(=O)c2cnccc2C(F)(F)F	0
CCN(C(=O)C(C)(C)CSC)c1cnn(c1)c2cccnc2	1
CCN(C(=O)\C(=N\OC)\CSCCC(F)(F)F)c1cn(nc1Cl)c2cccnc2	1
CCN(C(=O)CCC(=O)NC1CC1C(F)(F)F)c2cn(nc2Cl)c3cccnc3	1
CC(C)(C)OC(=O)Nc1cn(nc1Cl)c2cccnc2	0
COc1ccc(\C=N\NC(=S)N=S(=O)(C)C(C)c2ccc(nc2)C(F)(F)F)cc1	0
Cc1n[nH]c(n1)c2cccc(NC(=O)Cc3ccc(F)cc3Cl)c2	0
CN(C(=O)CCSCCC(F)(F)F)c1nnc(s1)c2cncnc2	0
CCN(C(=O)CCSCC1CC1(F)F)c2cc(nn2C)c3cccnc3	0
COc1cc(CC(\N=C(/SC)\N2CCOC2(C)C)c3cccc(C)c3C)cc(OC)c1	0
CCS(=O)(=O)c1cncc(F)c1C(OC)c2ccc(OC(F)(F)F)cc2	0
CC(c1ccc(F)nc1)S(=O)(=NC#N)C	0
CC(SC(C)c1sc(nc1Cl)c2cccnc2)c3ccc(C)s3	0
CN(C(=O)OCc1oc(cc1)[N+](=O)[O-])c2c[nH+]c(s2)c3cncc(F)c3	0
Cc1nn(cc1N(Cc2ccccn2)c3cccc(n3)N4C=CC(=S)C=C4)c5cccnc5	0
CCN(C(=O)CCSC)c1c[nH+]c(s1)c2cncc(F)c2	0
COP(=O)(OC)S\C=C(/C)\C(=O)Nc1ccccc1	0
CO\N=C\1/C[C@]2(C[C@@H]3C[C@@H](C\C=C(/C)\C[C@@H](C)\C=C\C=C\4/CO[C@@H]5[C@H](O)C(=CC(C(=O)O3)[C@]45O)C)O2)O[C@H](\C=C\C(C)C)[C@H]1C	1
CCN(C(=O)C(C)(C)F)c1cn(nc1C)c2cccnc2	0
CCN(C(=O)\C=C\Sc1ccccc1)c2cn(nc2Cl)c3cccnc3	1
CCN(C(=O)CCS(=O)(=O)N(C)CCC(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
CSCC(C)C(=O)N(C(=O)C(C)CSC)c1cn(nc1Cl)c2cccnc2	1
CCN(C(=O)CN1CCCC1=O)c2cn(nc2Cl)c3cccnc3	1
Cc1cc(C)cc(CN(NC2=NCCO2)c3cccc(C)c3C)c1	0
CC(c1ccc(nc1)C(F)(F)F)S(=O)(=NC2=NC(=O)C(C)(S2)c3ccccc3)C	0
Cc1nn(cc1C(=O)NCCCCC(F)(F)F)c2cccnc2	0
CC(C)c1ccc(C)cc1[NH+]2C(=O)CS/C/2=N\C(=O)NC[C@H](F)c3ccc(cc3)c4ncn(n4)c5ccc(OC(F)(F)F)cc5	0
CS(=O)(=N[N+](=O)[O-])Cc1cnc(Cl)s1	0
Fc1cccc(NC(=O)c2cccnc2)n1	0
CN(C(=O)NCC(F)(F)F)c1sc([nH+]c1Cl)c2cccnc2	1
Cc1nn(cc1NC(=O)OC(C)(C)C)c2cccnc2	1
CSc1cncc(Cl)c1C(F)c2ccc(cc2)C(C)(C)C	0
CC(C)C(=O)N(CC=C)c1cn(nc1C)c2cccnc2	1
CCN(C(=O)CC\C(=N\OCCC1CC1(F)F)\C)c2cn(nc2Cl)c3cccnc3	0
FCCNC(=O)N(CCF)c1sc(nc1Br)c2cccnc2	0
CSCN1C=Cc2nc(sc2C1=O)c3cccnc3	1
CCN(CCC(=O)N(CC)c1cn(nc1Cl)c2cccnc2)S(=O)(=O)C	0
Oc1c(C(=O)[O-])c([nH+]c2ccc(cc12)C(F)(F)F)c3ccc[nH]3	0
CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)c1c[nH+]c(s1)c2cncc(F)c2	0
CC(C)N(C(=O)C(C)C)c1cc(nn1C)c2cccnc2	0
CCc1nnc(N=S(=O)(C)C(C)c2ccc(nc2)C(F)(F)F)s1	0
c1cnc(nc1)c2cccc(n2)c3cnc(s3)c4cccnc4	1
CCc1[nH+]c(sc1N(C)C(=O)CCSC)c2cccnc2	0
C[NH+]1CCCC(C1)OC(=O)Nc2cccc(c2)C(F)(F)F	0
CN(C(=O)c1cn(C)nc1C(F)(F)F)c2sc(nc2Cl)c3cccnc3	1
COc1cc(ccn1)C(=[NH2+])NC(=O)c2cnccc2C(F)(F)F	0
CCNC(=O)c1cnn(c2ccc(F)cc2)c1C(F)(F)F	0
Cc1cccc(S\C=C/2\C(\OC(CC2)(C)C)=N\c3cccc(C)c3C)c1	0
CCC(C)CSC(=O)N(CC)c1sc(nc1Br)c2cccnc2	0
CCNC(=S)N1CCO/C/1=N\C(Cc2cc(C)cc(C)c2)c3cccc(Cl)c3Cl	1
CN(C(=O)C1CC1)c2cc(nc[nH+]2)c3cccnc3	0
c1cnc(nc1)c2cccc(n2)c3ccnc(c3)c4cccnc4	0
C[C@H](O)C(=O)Nc1cn(nc1Cl)c2cccnc2	1
CCN(C(=O)CCSc1ccccc1)c2sc([nH+]c2C)c3cccnc3	0
COC(c1ccc(OC(F)(F)F)cc1)c2nccnc2SC	0
CCCCC(=O)N(C(=O)C(C)SC)c1cn(nc1Cl)c2cccnc2	1
CN(CC(F)(F)F)C(=O)c1cn(nc1C)c2cccnc2	1
CCN(C(=O)c1ncccc1C(F)(F)F)c2cn(nc2Cl)c3cccnc3	0
CSC(C)C(=O)N(Cc1ccc(F)cc1)c2cn(nc2Cl)c3cccnc3	0
CSc1ccc(cc1)C2=NOC(C2)(c3cc(Cl)cc(Cl)c3)C(F)(F)F	0
Cc1cc(Oc2cc(ccn2)C(F)(F)F)c(C)cc1CCNc3ncnc4nccnc34	0
COC(=O)c1ccc(nc1)n2cc(cn2)C(F)(F)F	0
CN(C)c1cccc(\C=N\N=C\c2cccc(C)c2)[nH+]1	0
CSCC(C)C(=S)N(C)c1sc([nH+]c1Cl)c2cccnc2	0
Clc1nn(cc1N(Cc2ccccn2)c3cccc(n3)N4C=CC(=S)C=C4)c5cccnc5	0
CC(C)(C)OC(=O)NCCc1ccc(Oc2cnccc2C(F)(F)F)cc1	0
CSCCC(=O)N(C1CC1)c2c[nH+]c(s2)c3cccnc3	0
CC(C)CNC(=O)CSc1ccccc1	0
CN(C(=O)c1cc(NC(=O)[C@H]2[C@H](c3ccc(F)c(c3)C(F)(F)F)C2(Cl)Cl)ccc1Cl)c4ccc(F)c(NC(=O)C(F)(F)F)c4F	0
CSCC(C)C(=O)Nc1cn(nc1C)c2cccnc2	1
COc1nsc(NC(=O)c2cnccc2C(F)(F)F)n1	0
CCN(C(=O)CC(=O)C)c1cn(nc1Cl)c2cccnc2	0
Cc1cc(C)cc(CN(NC2=[NH+]CCCS2)c3cccc(Cl)c3Cl)c1	0
CSC(C)C(C)C(=O)N(C)c1sc([nH+]c1Cl)c2cncc(F)c2	0
CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(/C)\[C@@H](O[C@H]4C[C@@H](OC)[C@@H](O[C@H]5C[C@@H](OC)[C@@H]([NH2+]C)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C\6/CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C	1
COCC(=O)N\N=C(/C)\c1ccc(Cl)cc1	0
CCN(C(=O)N(C)CC1CC1)c2sc(nc2Br)c3cccnc3	0
CCCSP(=O)(OCC)N1CCO/C/1=N\Cc2ccccc2	0
CC(C#C)N(C(=O)[CH-]S(=O)(=O)C)c1cn(nc1C)c2cccnc2	0
Cc1[nH+]c(sc1NC(=O)NCCCl)c2cncc(F)c2	0
Cn1c(nc2cc(ccc12)C(F)(F)F)c3ccncc3S(=O)(=O)C	0
CCN(C(=O)OC(C)(C)C)c1cn(nc1C)c2cncc(F)c2	0
C1C\C(=N/Oc2ncccn2)\c3cn(nc3C1)c4cccnc4	0
CC(c1ccc(nc1)C(F)(F)F)S(=O)(=NC(=[NH+]C(=O)OCC2c3ccccc3c4ccccc24)SCCCF)C	0
CCCCN1N=C(N=CC1=O)C2Cc3ccccc23	0
Cc1cc(CCNc2ncnc3c(F)ccc(F)c23)ccc1Oc4cc(ccn4)C(F)(F)F	0
COC(=O)\C(=C\C1C(C(=O)O[C@@H]2CC(=O)C(=C2C)C\C=C\C=C)C1(C)C)\C	0
CNc1nc(nn1C)c2cccnc2	0
CCCCC(=O)N(CC)c1sc(nc1Cl)c2cccnc2	0
CCc1ccc(cc1)[n+]2cc(c3ccc(OC(F)F)cc3)n4CCCCCc24	0
CN(C)c1ccc(\C=N\N=C\c2cccc(C)c2)cn1	0
CCN(C(=O)CCC(=O)C)c1sc([nH+]c1C)c2cccnc2	0
CCN(C(=O)C(CSC(=O)C)C(F)(F)F)c1sc(nc1Cl)c2cccnc2	0
CS(=O)c1cncc(F)c1C2CC(=NO2)c3ccc(OC(F)(F)F)cc3	0
CC(NC(=S)N1CCOC1=O)c2ccsc2	0
CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(/C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C\6/CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C	1
CSCCN(C)C(=O)c1sc(nc1Cl)c2cccnc2	0
CC\C(=N/NC=O)\c1ccc(Br)cc1	0
CSCON1CCc2nc(sc2C1=O)c3cccnc3	0
FC(F)C(=O)Nc1c(F)ccc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4ccc(F)c(c4)C(F)(F)F)C3(Cl)Cl)ccc2Cl)c1F	0
CSC(C)CC(=O)Nc1sc(nc1Cl)c2cccnc2	1
CC(NC(=S)NCCO)c1ccccc1	0
CC1(C)C[C@H]2C[C@@H](Oc3ccccn3)C=C2CO1	0
FC(F)(F)c1cc2sc(nc2cn1)c3ccncc3	0
CN(C(=O)C(C)(C)C)c1nnc(s1)c2cncnc2	0
CCC(c1ccc(Cl)nc1)S(=O)(=NC#N)C	0
CCN(C(=O)[C-](C)S(=O)(=O)C)c1cn(nc1Cl)c2cncc(F)c2	1
CCS(=NC(=O)c1cc(Cl)cc(C)c1NC(=O)c2cc(Br)nn2c3ncccc3Cl)CC	1
FC(F)(F)CCSCCC(=O)N(CCc1ccccc1)c2cn(nc2Cl)c3cccnc3	0
FC(F)CN1CCN(CC1)C(=O)Nc2cccnc2	0
Cc1ccc(CC(NC(=S)N2CCOC2(C)C)c3cccc(C)c3C)cc1C	0
COc1cc(CCNc2ncnc3sc[nH+]c23)ccc1Oc4cc(cc[n+]4[O-])C(F)(F)F	0
C[C@@H](NC(=O)c1ccc(\C=C\C(c2cc(Cl)c(Cl)c(Cl)c2)C(F)(F)F)cc1C(F)(F)F)C(=O)N(C)CC(F)(F)F	0
COC(=O)CCC(=O)N(C)c1nnc(s1)c2ccncc2	0
FC(F)(F)c1csc(N=S2(=O)CCCC2c3ccc(Cl)nc3)n1	0
COc1ccc(cc1)c2csc(NC3=NCCN3Cc4ccc(Cl)nc4)n2	0
CN(C(=O)C1CCCN(C1)C(=S)NC2CC2)c3sc([nH+]c3C)c4cncc(F)c4	0
CC(C)c1[nH]nc2c3ccccc3C(=O)c12	0
Nc1c(F)ccc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4cc(F)c(F)c(F)c4)C3(Cl)Cl)ccc2Cl)c1F	1
CCC(NC(=O)c1ccc(Sc2cccc(n2)C(F)(F)F)cc1)c3ccncc3	0
CC(\N=C(/SCc1ccccc1F)\N2CCOC2=O)c3cccs3	1
CCN(C(=O)CCSCCF)c1cn(nc1Cl)c2cccnc2	0
CCN(C(=S)CCS(=O)CCC(F)(F)F)c1cn(nc1Cl)c2cccnc2	1
CSCC(C)(C)C(=O)N(C)c1sc([nH+]c1C)c2cccnc2	0
CS(=O)(=O)c1cnccc1C2CC(=NO2)c3ccc(cn3)C(F)(F)F	0
CO\N=C(/CCCC(F)(F)F)\c1sc(nc1Cl)c2cccnc2	0
COC(=S)N=S(=O)(C)C(C)c1ccc(nc1)C(F)(F)F	0
CCN(C(=S)NC(C)C(C)C)c1sc(nc1Cl)c2cccnc2	1
CCN(C(=O)C(C)CSCC(F)(F)F)c1sc(nc1Cl)c2cccnc2	0
CCN(C(=O)C(CSC)C(=O)CCSC)c1cn(nc1Cl)c2cccnc2	0
CSCCC(=O)N(CCCCF)c1cn(nc1Cl)c2cccnc2	0
CC(=O)Nc1c(F)ccc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4ccc(F)c(Cl)c4)C3(Cl)Cl)ccc2Cl)c1F	0
CCN(C(=O)c1oc(CSC)cc1)c2cn(nc2C)c3cncc(F)c3	0
CC(C)C(C)n1ncc(C(=O)[N-]Nc2ccnnc2)c1C	0
C1C[NH+]2CC(SC2=N1)c3ccccc3	0
CCC(=O)N(C)\N=C(/CC)\c1ccc(Cl)cc1	0
Cc1c(cnn1c2cccc(c2)C(F)(F)F)C(=O)Nc3cccnc3	1
CCN(C(=O)CCSC(C)C(=O)N)c1cn(nc1Cl)c2cccnc2	0
Fc1ccc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4cccc(c4)C(F)(F)F)C3(Cl)Cl)ccc2Cl)c(F)c1NC(=O)C(F)(F)CC=C	0
